gene	SRR5344343	SRR5344344	SRR5344345	SRR5344347	SRR5344348	SRR5344349	SRR5344350
ENSNFUG00015000040	1	0	1	0	1	1	0
ENSNFUG00015000041	26	15	25	10	19	25	24
ENSNFUG00015000042	481	441	486	463	449	510	425
ENSNFUG00015000043	2136	2080	2566	1095	1028	1449	912
ENSNFUG00015000044	117	124	125	135	142	116	125
ENSNFUG00015000045	327	347	282	254	213	261	190
ENSNFUG00015000046	13	6	6	2	13	14	8
ENSNFUG00015000047	427	429	442	439	445	454	417
ENSNFUG00015000048	128	154	126	127	111	116	97
ENSNFUG00015000049	787	904	867	503	609	608	498
ENSNFUG00015000050	330	291	294	220	272	256	245
ENSNFUG00015000051	646	763	751	550	502	461	410
ENSNFUG00015000052	186	217	258	193	139	157	125
ENSNFUG00015000053	2	2	3	1	8	2	5
ENSNFUG00015000054	404	388	396	527	564	426	507
ENSNFUG00015000055	26	32	11	47	68	49	58
ENSNFUG00015000056	5	4	5	7	10	10	7
ENSNFUG00015000058	903	865	866	729	839	807	705
ENSNFUG00015000063	84	100	114	103	100	78	95
ENSNFUG00015000126	552	565	588	459	543	545	475
ENSNFUG00015000127	259	235	276	530	498	608	450
ENSNFUG00015000133	32	44	38	36	47	43	32
ENSNFUG00015000165	0	0	1	1	0	1	2
ENSNFUG00015000166	89	49	57	91	161	65	126
ENSNFUG00015000167	0	0	0	5	0	3	0
ENSNFUG00015000168	53	64	73	31	40	25	25
ENSNFUG00015000176	131	196	161	141	150	126	135
ENSNFUG00015000179	205	220	211	215	268	233	241
ENSNFUG00015000180	426	365	295	562	858	454	768
ENSNFUG00015000184	104	96	70	230	505	125	404
ENSNFUG00015000189	6	6	5	6	9	11	7
ENSNFUG00015000192	1	0	0	0	2	1	0
ENSNFUG00015000196	547	437	167	318	377	211	353
ENSNFUG00015000197	249	257	231	172	141	198	108
ENSNFUG00015000201	2	4	2	2	3	5	2
ENSNFUG00015000204	155	163	116	159	127	175	120
ENSNFUG00015000207	614	512	180	422	711	326	548
ENSNFUG00015000208	675	691	745	483	563	546	455
ENSNFUG00015000209	900	899	1113	983	824	1078	787
ENSNFUG00015000213	8235	9802	11453	6815	6915	7983	6216
ENSNFUG00015000214	699	568	415	966	1423	633	1200
ENSNFUG00015000218	114	108	77	190	345	121	263
ENSNFUG00015000221	735	511	282	675	1057	454	848
ENSNFUG00015000228	17	8	7	20	22	11	20
ENSNFUG00015000230	147	135	135	127	126	128	128
ENSNFUG00015000231	52	33	34	83	154	74	111
ENSNFUG00015000246	70	77	59	92	74	68	66
ENSNFUG00015000247	399	382	329	172	242	338	197
ENSNFUG00015000251	6	0	4	6	8	9	2
ENSNFUG00015000260	17	18	29	24	30	33	21
ENSNFUG00015000263	7	4	3	7	16	6	11
ENSNFUG00015000268	24	14	13	29	42	19	42
ENSNFUG00015000269	10732	12550	11435	5119	4952	6954	4355
ENSNFUG00015000273	6	12	15	18	18	13	19
ENSNFUG00015000278	55	70	76	83	68	46	65
ENSNFUG00015000282	3	2	1	7	5	5	2
ENSNFUG00015000291	0	0	2	55	170	25	151
ENSNFUG00015000294	18	16	23	19	23	32	20
ENSNFUG00015000299	129	130	191	208	122	107	89
ENSNFUG00015000302	1	2	0	1	1	1	0
ENSNFUG00015000304	527	555	567	327	423	521	394
ENSNFUG00015000306	88	88	94	74	73	84	71
ENSNFUG00015000309	65	39	35	73	74	34	75
ENSNFUG00015000310	1436	1638	1511	840	1021	1038	859
ENSNFUG00015000320	6	20	12	14	12	8	13
ENSNFUG00015000330	1366	1347	1474	1210	1424	1399	1157
ENSNFUG00015000338	26	26	18	28	37	15	19
ENSNFUG00015000351	939	929	862	715	799	747	703
ENSNFUG00015000352	287	253	210	672	361	395	312
ENSNFUG00015000353	0	0	0	0	0	0	1
